list_name,name,label::English,label::Dari,label::Pashto,region,province,district,factors,filter
district_list,andkhoy,Andkhoy,??????,??????,,faryab,,,
district_list,dawlat_abad,Dawlat Abad,???? ???? (??????),???? ???? (??????),,faryab,,,
district_list,khan_e_char_bagh,Khan-e-Char Bagh,??? ???????,??? ???????,,faryab,,,
district_list,khwaja_sabz_posh,Khwaja Sabz Posh,????? ??? ???,????? ??? ???,,faryab,,,
district_list,maymana,Maymana,?????,?????,,faryab,,,
district_list,pashtun_kot,Pashtun Kot,????? ???,????? ???,,faryab,,,
district_list,qaisar,Qaisar,?????,?????,,faryab,,,
district_list,qaram_qul,Qaram Qul,??? ??,??? ??,,faryab,,,
district_list,qurghan,Qurghan,?????,?????,,faryab,,,
district_list,shirin_tagab,Shirin Tagab,???? ????,???? ????,,faryab,,,
district_list,ghazni,Ghazni,????,????,,ghazni,,,
district_list,muqur_ghazni,Muqur Ghazni,??? (????),??? (????),,ghazni,,,
district_list,nawur,Nawur,????,????,,ghazni,,,
district_list,rashidan,Rashidan,??????,??????,,ghazni,,,
district_list,charsadra,Charsadra,?????? ??,?????? ??,,ghor,,,
district_list,dolayna,DoLayna,?? ????,?? ????,,ghor,,,
district_list,feroz_koh,Feroz Koh,????? ???,????? ???,,ghor,,,
district_list,lal_wa_sarjangal,Lal Wa Sarjangal,??? ? ??????,??? ? ??????,,ghor,,,
district_list,saghar,Saghar,????,????,,ghor,,,
district_list,shahrak,Shahrak,????,????,,ghor,,,
district_list,taywarah,Taywarah,?????,?????,,ghor,,,
district_list,tolak,Tolak,????,????,,ghor,,,
district_list,garmser,Garmser,??????,??????,,helmand,,,
district_list,lashkargah,Lashkargah,???????,???????,,helmand,,,
district_list,marja,Marja,?????,?????,,helmand,,,
district_list,nad_ali,Nad Ali,??????,??????,,helmand,,,
district_list,nahr_e_saraj,Nahr-e-Saraj,??? ????,??? ????,,helmand,,,
district_list,nawa_e_barakzaiy,Nawa-e-Barakzaiy,???? ????????,???? ????????,,helmand,,,
district_list,ghoryan,Ghoryan,??????,??????,,herat,,,
district_list,guzara,Guzara,????,????,,herat,,,
district_list,hirat,Hirat,????,????,,herat,,,
district_list,injil,Injil,?????,?????,,herat,,,
district_list,karukh,Karukh,???,???,,herat,,,
district_list,kohsan,Kohsan,??????,??????,,herat,,,
district_list,aqcha,Aqcha,????,????,,jawzjan,,,
district_list,fayzabad_jawzjan,Fayzabad (Jawzjan),??? ???? (??????),??? ???? (??????),,jawzjan,,,
district_list,khanaqa,Khanaqa,?????,?????,,jawzjan,,,
district_list,khwaja_dukoh,Khwaja Dukoh,????? ?????,????? ?????,,jawzjan,,,
district_list,mingajik,Mingajik,??????,??????,,jawzjan,,,
district_list,sheberghan,Sheberghan,??????,??????,,jawzjan,,,
district_list,bagrami,Bagrami,??????,??????,,kabul,,,
district_list,chahar_asyab,Chahar Asyab,???? ?????,???? ?????,,kabul,,,
district_list,deh_sabz,Deh Sabz,?? ???,?? ???,,kabul,,,
district_list,kabul,Kabul,????,????,,kabul,,,
district_list,kalakan,Kalakan,?????,?????,,kabul,,,
district_list,mir_bacha_kot,Mir Bacha Kot,??? ??? ???,??? ??? ???,,kabul,,,
district_list,paghman,Paghman,?????,?????,,kabul,,,
district_list,qara_bagh,Qara Bagh,??? ???,??? ???,,kabul,,,
district_list,arghestan,Arghestan,???????,???????,,kandahar,,,
district_list,daman,Daman,?????,?????,,kandahar,,,
district_list,dand,Dand,???,???,,kandahar,,,
district_list,kandahar,Kandahar,??????,??????,,kandahar,,,
district_list,maywand,Maywand,?????,?????,,kandahar,,,
district_list,panjwayee,Panjwayee,???????,???????,,kandahar,,,
district_list,spin_boldak,Spin Boldak,???? ?????,???? ?????,,kandahar,,,
district_list,zheray,Zheray,????,????,,kandahar,,,
district_list,hisa_e_awal_e_kohistan,Hisa-e-Awal-e-Kohistan,??? ??? ???????,??? ??? ???????,,kapisa,,,
district_list,hisa_e_duwum_e_kohistan,Hisa-e-Duwum-e-Kohistan,??? ??? ???????,??? ??? ???????,,kapisa,,,
district_list,koh_band,Koh Band,??? ???,??? ???,,kapisa,,,
district_list,mahmood_e_raqi,Mahmood-e-Raqi,????? ????,????? ????,,kapisa,,,
district_list,nijrab,Nijrab,?????,?????,,kapisa,,,
district_list,gurbuz,Gurbuz,????,????,,khost,,,
district_list,mandozayi,Mandozayi,????????,????????,,khost,,,
district_list,matun,Matun,???? (????),???? (????),,khost,,,
district_list,nadir_shah_kot,Nadir Shah Kot,??????? ???,??????? ???,,khost,,,
district_list,shamal,Shamal,???,???,,khost,,,
